"Slug","Title","Content","URL","CTA Hedaline EN","CTA Hedaline FR","CTA Description EN","CTA Description FR","CTA Button Text EN","CTA Button Text FR"
"contact-us","Contact us","","https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ1oFNxdK2fpuC4-T5Up6Pjn8hOUfYsylts0SpYM9qh3SY8elkuZZoQBOHaKiwKUy7kZYMvD1ZAb?gv=true","Need expert guidance on UAE tax matters?","Besoin d'un expert sur la fiscalité UAE ?","Our FTA-registered team handles VAT, Corporate Tax, structuring and audits. Free first consultation, no commitment.","Notre équipe agréée FTA gère VAT, Corporate Tax, structuration et audits. Premier échange offert, sans engagement.","Book a free call","Réserver un appel"
"wps-sif-generator","WPS SIF Generator","","https://daftime.ae/wps-sif-generator","Generate your WPS payroll file for free","Générez votre fichier de paie WPS gratuitement","Official SIF format + CSV exports for WIO, Emirates NBD, FAB. Multi-employee, MoL compliant, instant.","Format SIF officiel + exports CSV pour WIO, Emirates NBD, FAB. Multi-employés, conforme MoL, instantané.","Generate my SIF","Générer mon SIF"
"vat-calculator","VAT Calculator","","https://daftime.ae/vat-calculator-uae","Stop second-guessing your UAE VAT","Arrêtez de douter sur votre VAT UAE","Net to gross, gross to net, Reverse Charge - all three modes in one free tool.","HT vers TTC, TTC vers HT, Reverse Charge - les 3 modes dans un seul outil gratuit.","Calculate VAT now","Calculer ma VAT"
"tax-invoice-generator","Tax Invoice Generator","","https://daftime.ae/invoice-generator","Generate an FTA-compliant invoice in 2 minutes","Générez une facture conforme FTA en 2 minutes","TRN, VAT 5%, all Article 59 fields. Instant PDF download, no signup.","TRN, VAT 5%, toutes les mentions Article 59. Export PDF instantané, sans inscription.","Create my invoice","Créer ma facture"
"dividend-distribution","Dividend Distribution","","https://daftime.ae/uae-dividend-distribution","How much dividend lands in your pocket?","Combien de dividende finit dans votre poche ?","From UAE profit to net cash: Corporate Tax, legal reserve, residence tax. Full chain in one view.","Du bénéfice UAE au cash net : Corporate Tax, réserve légale, impôt résidence. Toute la chaîne en un coup d'œil.","See my net dividend","Voir mon net en poche"
"fta-penalties-calculator","FTA Penalties Calculator","","https://daftime.ae/fta-uae-penalties","How much could your FTA fines reach?","À combien peuvent monter vos amendes FTA ?","Late VAT or Corporate Tax filing? Penalties can climb fast. Estimate yours before the FTA does.","Retard VAT ou Corporate Tax ? Les pénalités grimpent vite. Estimez les vôtres avant que la FTA ne le fasse.","Estimate my penalties","Estimer mes pénalités"
"dubai-real-estate-roi","Dubai Real Estate ROI","","https://daftime.ae/dubai_roi_real_estate","Is your Dubai property actually profitable?","Votre investissement Dubai est-il vraiment rentable ?","Net yield after DLD, NOC, service charges and vacancy. The numbers brokers won't show you.","ReRendement net après DLD, NOC, service charges et vacance. Les chiffres que les agents ne vous montrent pas.","Calculate net yield","Calculer mon rendement"
"employee-total-cost"," Employee Total Cost","","https://daftime.ae/employee-total-cost-uae","What does an UAE hire really cost you?","Combien coûte vraiment une embauche aux UAE ?","Salary, allowances, visa, insurance, gratuity accrual. The real number behind the offer letter.","Salaire, allowances, visa, assurance, provision gratuity. Le vrai chiffre derrière la lettre d'offre.","See the full cost","Voir le coût complet"
"gratuity-calculator","Gratuity Calculator","","https://daftime.ae/uae-gratuity-calculator","What's your end-of-service gratuity worth?","Combien vaut votre indemnité de fin de service ?","Article 51 calculation: 21 days/year, then 30, capped at 2 years' salary. Resignation, termination, part-time covered.","Calcul Article 51 : 21 jours/an, puis 30, plafond 2 ans. Démission, licenciement, temps partiel inclus.","Calculate my gratuity","Calculer mon indemnité"
"qfzp-eligibility-test","QFZP Eligibility Test","","https://daftime.ae/qzfp-eligibility-test","Are you actually QFZP-eligible?","Êtes-vous vraiment éligible au régime QFZP ?","9 questions to know if your Free Zone qualifies for the 0% Corporate Tax rate. Honest answer in 2 minutes.","9 questions pour savoir si votre Free Zone bénéficie du taux 0% Corporate Tax. Réponse honnête en 2 minutes.","Take the test"," Faire le diagnostic"
"corporate-tax","UAE Corporate Tax Calculator","","https://daftime.ae/corporate-tax-uae-calculator","Calculate your UAE Corporate Tax in 60 seconds","Calculez votre Corporate Tax UAE en 60 secondes","0% up to AED 375K, 9% above. Test SBR, QFZP regimes and loss carryforwards instantly.","0% jusqu'à 375K AED, 9% au-delà. Testez les régimes SBR, QFZP et les reports déficitaires en direct.","Run my calculation","Lancer mon calcul"